"Pristype";"Lejlighedstype";"Postnummer";"2023K1";""2023K2";"2023K3";"2023K4";
"Realiseret handelspris";"Ejerlejlighed";"4621 Gadstrup";0;..;0;..
"Realiseret handelspris";"Ejerlejlighed";"4622 Havdrup";0;0;..;..
"Realiseret handelspris";"Ejerlejlighed";"4623 Lille Skensved";0;..;0;..
"Realiseret handelspris";"Ejerlejlighed";"4632 Bj�verskov";..;0;0;..
"Realiseret handelspris";"Ejerlejlighed";"4640 Faxe";..;..;..;0
"Realiseret handelspris";"Ejerlejlighed";"4652 H�rlev";..;..;..;0
"Realiseret handelspris";"Ejerlejlighed";"4653 Karise";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4654 Faxe Ladeplads";0;0;..;0
"Realiseret handelspris";"Ejerlejlighed";"4660 Store Heddinge";..;..;0;..
"Realiseret handelspris";"Ejerlejlighed";"4671 Str�by";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4672 Klippinge";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4673 R�dvig Stevns";..;0;..;0
"Realiseret handelspris";"Ejerlejlighed";"4681 Herf�lge";21611;..;..;..
"Realiseret handelspris";"Ejerlejlighed";"4682 Tureby";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4683 R�nnede";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4684 Holmegaard";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4690 Haslev";..;..;..;..
"Realiseret handelspris";"Ejerlejlighed";"4700 N�stved";14179;14080;13059;15767
"Realiseret handelspris";"Ejerlejlighed";"4720 Pr�st�";12161;0;..;0
"Realiseret handelspris";"Ejerlejlighed";"4733 Tappern�je";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4735 Mern";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4736 Karreb�ksminde";..;..;..;0
"Realiseret handelspris";"Ejerlejlighed";"4750 Lundby";0;0;0;..
"Realiseret handelspris";"Ejerlejlighed";"4760 Vordingborg";..;..;..;..
"Realiseret handelspris";"Ejerlejlighed";"4771 Kalvehave";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4772 Langeb�k";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4773 Stensved";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4780 Stege";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4791 Borre";0;..;..;..
"Realiseret handelspris";"Ejerlejlighed";"4792 Askeby";0;..;0;0
"Realiseret handelspris";"Ejerlejlighed";"4793 Bog� By";0;0;0;0
"Realiseret handelspris";"Ejerlejlighed";"4800 Nyk�bing F";10661;..;..;..
"Realiseret handelspris";"Ejerlejlighed";"4840 N�rre Alslev";0;..;0;0
